Date,Close
2023-01-01,100.00
2023-01-02,100.85
2023-01-03,99.72
2023-01-04,101.25
2023-01-05,102.10
2023-01-06,101.55
2023-01-07,103.20
2023-01-08,102.80
2023-01-09,104.10
2023-01-10,103.50
2023-01-11,102.75
2023-01-12,101.90
2023-01-13,103.25
2023-01-14,104.50
2023-01-15,105.20
2023-01-16,104.80
2023-01-17,106.10
2023-01-18,105.50
2023-01-19,107.20
2023-01-20,106.80
2023-01-21,108.10
2023-01-22,107.50
2023-01-23,106.20
2023-01-24,105.80
2023-01-25,104.50
2023-01-26,103.80
2023-01-27,102.90
2023-01-28,104.20
2023-01-29,105.10
2023-01-30,106.40
2023-01-31,105.80
2023-02-01,107.20
2023-02-02,108.50
2023-02-03,107.80
2023-02-04,109.10
2023-02-05,110.20
2023-02-06,109.50
2023-02-07,108.20
2023-02-08,107.50
2023-02-09,106.80
2023-02-10,105.20
2023-02-11,104.50
2023-02-12,103.80
2023-02-13,105.10
2023-02-14,106.40
2023-02-15,107.80
2023-02-16,109.20
2023-02-17,110.50
2023-02-18,109.80
2023-02-19,108.50
2023-02-20,107.20
2023-02-21,108.50
2023-02-22,109.80
2023-02-23,111.20
2023-02-24,112.50
2023-02-25,111.80
2023-02-26,110.50
2023-02-27,109.20
2023-02-28,110.50
2023-03-01,111.80
2023-03-02,113.20
2023-03-03,112.50
2023-03-04,113.80
2023-03-05,115.20
2023-03-06,114.50
2023-03-07,113.20
2023-03-08,112.50
2023-03-09,113.80
2023-03-10,115.20
2023-03-11,116.50
2023-03-12,115.80
2023-03-13,117.20
2023-03-14,118.50
2023-03-15,117.80
2023-03-16,116.50
2023-03-17,115.20
2023-03-18,116.50
2023-03-19,117.80
2023-03-20,116.50
2023-03-21,115.20
2023-03-22,113.80
2023-03-23,112.50
2023-03-24,113.80
2023-03-25,115.20
2023-03-26,116.50
2023-03-27,115.80
2023-03-28,114.50
2023-03-29,113.20
2023-03-30,114.50
2023-03-31,115.80
2023-04-01,117.20
2023-04-02,116.50
2023-04-03,115.20
2023-04-04,116.50
2023-04-05,117.80
2023-04-06,119.20
2023-04-07,120.50
2023-04-08,119.80
2023-04-09,118.50
2023-04-10,117.20
2023-04-11,118.50
2023-04-12,119.80
2023-04-13,121.20
2023-04-14,120.50
2023-04-15,119.20
2023-04-16,118.50
2023-04-17,119.80
2023-04-18,121.20
2023-04-19,122.50
2023-04-20,121.80
2023-04-21,123.20
2023-04-22,124.50
2023-04-23,123.80
2023-04-24,122.50
2023-04-25,121.20
2023-04-26,122.50
2023-04-27,123.80
2023-04-28,125.20
2023-04-29,124.50
2023-04-30,123.20
2023-05-01,124.50
2023-05-02,125.80
2023-05-03,127.20
2023-05-04,126.50
2023-05-05,125.20
2023-05-06,126.50
2023-05-07,127.80
2023-05-08,126.50
2023-05-09,125.20
2023-05-10,123.80
2023-05-11,122.50
2023-05-12,123.80
2023-05-13,125.20
2023-05-14,126.50
2023-05-15,125.80
2023-05-16,124.50
2023-05-17,123.20
2023-05-18,124.50
2023-05-19,125.80
2023-05-20,127.20
2023-05-21,126.50
2023-05-22,125.20
2023-05-23,126.50
2023-05-24,127.80
2023-05-25,129.20
2023-05-26,128.50
2023-05-27,127.20
2023-05-28,128.50
2023-05-29,129.80
2023-05-30,131.20
2023-05-31,130.50
2023-06-01,129.20
2023-06-02,130.50
2023-06-03,131.80
2023-06-04,133.20
2023-06-05,132.50
2023-06-06,131.20
2023-06-07,132.50
2023-06-08,133.80
2023-06-09,135.20
2023-06-10,134.50
2023-06-11,133.20
2023-06-12,132.50
2023-06-13,133.80
2023-06-14,135.20
2023-06-15,136.50
2023-06-16,135.80
2023-06-17,134.50
2023-06-18,133.20
2023-06-19,134.50
2023-06-20,135.80
2023-06-21,137.20
2023-06-22,136.50
2023-06-23,135.20
2023-06-24,136.50
2023-06-25,137.80
2023-06-26,136.50
2023-06-27,135.20
2023-06-28,136.50
2023-06-29,137.80
2023-06-30,139.20
2023-07-01,138.50
2023-07-02,137.20
2023-07-03,138.50
2023-07-04,139.80
2023-07-05,141.20
2023-07-06,140.50
2023-07-07,139.20
2023-07-08,140.50
2023-07-09,141.80
2023-07-10,143.20
2023-07-11,142.50
2023-07-12,141.20
2023-07-13,142.50
2023-07-14,143.80
2023-07-15,145.20
2023-07-16,144.50
2023-07-17,143.20
2023-07-18,142.50
2023-07-19,143.80
2023-07-20,145.20
2023-07-21,146.50
2023-07-22,145.80
2023-07-23,144.50
2023-07-24,143.20
2023-07-25,144.50
2023-07-26,145.80
2023-07-27,147.20
2023-07-28,146.50
2023-07-29,145.20
2023-07-30,146.50
2023-07-31,147.80
2023-08-01,149.20
2023-08-02,148.50
2023-08-03,147.20
2023-08-04,148.50
2023-08-05,149.80
2023-08-06,151.20
2023-08-07,150.50
2023-08-08,149.20
2023-08-09,150.50
2023-08-10,151.80
2023-08-11,153.20
2023-08-12,152.50
2023-08-13,151.20
2023-08-14,152.50
2023-08-15,153.80
2023-08-16,152.50
2023-08-17,151.20
2023-08-18,152.50
2023-08-19,153.80
2023-08-20,155.20
2023-08-21,154.50
2023-08-22,153.20
2023-08-23,154.50
2023-08-24,155.80
2023-08-25,154.50
2023-08-26,153.20
2023-08-27,154.50
2023-08-28,155.80
2023-08-29,157.20
2023-08-30,156.50
2023-08-31,155.20
